Species,ScientificName,ECOS_Page
Bull Trout,Salvelinus confluentus,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=8212
Northern spotted owl,Strix occidentalis caurina,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=1123
Marbled murrelet,Brachyramphus marmoratus,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=4467
Grizzly Bear,Ursus arctos horribilis,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=7642
Streaked horned lark,Eremophila alpestris strigata,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=7268
Yellow-billed cuckoo,Coccyzus americanus,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=3911
Mexican spotted owl,Strix occidentalis lucida,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=8196
Southwestern willow flycatcher,Empidonax trailliiextimus,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=6749
Chiricahua Leopard frog,Rana chiricahuensis,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=1516
Piping plover,Charadrius melodus,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=6039
Northern Mexican gartersnake,Thamnophis eques megalops,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=7655
New Mexico meadow jumping mouse,Zapus hudsonius luteus,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=7965
Narrow-headed gartersnake,Thamnophis rufipunctatus,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=2204
Gila chub,Gila intermedia,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=51
Ocelot,Leopardus (=Felis) pardalis,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=4474
Red knot,Calidris canutus rufa,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=1864
Loach Minnow,Tiaroga cobitis,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=6922
Northern long-eared bat,Myotis septentrionalis,https://ecos.fws.gov/ecp0/profile/speciesProfile?sId=9045
